event,stat,feature,corr_r,abs_r,corr_level,p_value,sig_level,fold_change,fc_level,growth_pct,mean_benign,mean_malicious,cohen_d,cohen_d_level,p_fdr,sig_fdr
cpu_core_bus-cycles_,max,cpu_core_bus-cycles__max,-0.6484,0.6484,强相关,0.0,极显著,0.4585,低差异,-54.1488,2062207932.9818,945546703.8291,-1.8346,大效应,0.0,显著
cpu_core_bus-cycles_,med,cpu_core_bus-cycles__med,0.2695,0.2695,弱相关,0.0,极显著,1.8219,中等差异,82.1869,174150084.6429,317278665.1408,0.603,中等效应,0.0,显著
cpu_core_cache-misses_,mean,cpu_core_cache-misses__mean,-0.1955,0.1955,弱相关,0.0,极显著,0.7241,低差异,-27.5854,1636340.1275,1184949.2677,-0.4294,小效应,0.0,显著
cpu_core_cache-misses_,std,cpu_core_cache-misses__std,-0.6953,0.6953,强相关,0.0,极显著,0.4495,低差异,-55.0504,2210679.5144,993690.8307,-2.0841,大效应,0.0,显著
cpu_core_cache-misses_,max,cpu_core_cache-misses__max,-0.628,0.628,强相关,0.0,极显著,0.4664,低差异,-53.3624,10175322.1218,4745522.7311,-1.7382,大效应,0.0,显著
cpu_core_cache-misses_,med,cpu_core_cache-misses__med,0.0832,0.0832,弱相关,7.1e-05,显著,1.2948,低差异,29.4784,667121.9118,863778.6012,0.1798,小效应,8.283333333333335e-05,显著
cpu_core_cache-references_,mean,cpu_core_cache-references__mean,-0.0702,0.0702,弱相关,0.000802,显著,0.8786,低差异,-12.136,6965020.2398,6119747.2184,-0.1516,小效应,0.0009103783783783784,显著
cpu_core_cache-references_,std,cpu_core_cache-references__std,-0.6776,0.6776,强相关,0.0,极显著,0.4073,低差异,-59.2747,9683785.7084,3943747.9213,-1.9849,大效应,0.0,显著
cpu_core_cache-references_,max,cpu_core_cache-references__max,-0.6856,0.6856,强相关,0.0,极显著,0.4011,低差异,-59.8939,52289020.8417,20971100.3764,-2.0286,大效应,0.0,显著
cpu_core_cache-references_,med,cpu_core_cache-references__med,0.1911,0.1911,弱相关,0.0,极显著,1.8916,中等差异,89.1573,2697393.8095,5102318.1012,0.4194,小效应,0.0,显著
cpu_core_cpu-cycles_,mean,cpu_core_cpu-cycles__mean,-0.0238,0.0238,弱相关,0.25671,不显著,0.9586,低差异,-4.14,415123922.5868,397937800.1244,-0.0513,小效应,0.2712407547169811,不显著
cpu_core_cpu-cycles_,std,cpu_core_cpu-cycles__std,-0.6228,0.6228,强相关,0.0,极显著,0.4442,低差异,-55.5818,591362180.6032,262672510.7514,-1.7148,大效应,0.0,显著
cpu_core_cpu-cycles_,max,cpu_core_cpu-cycles__max,-0.6437,0.6437,强相关,0.0,极显著,0.4386,低差异,-56.1423,2894463145.437,1269445782.6498,-1.8121,大效应,0.0,显著
